列车号,服务号,车站,到达,出发,,车站名称,列车编号
G433,32,1,61241,61261,,苹果园,T31
G433,32,2,61461,61491,,古城,T31
G433,32,3,61641,61671,,八角游乐园,T31
G433,32,4,61821,61846,,八宝山,T31
G433,32,5,61966,62001,,玉泉路,T31
G433,32,6,62141,62181,,五棵松,T31
G433,32,7,62316,62351,,万寿路,T31
G433,32,8,62461,62506,,公主坟,T31
G433,32,9,62606,62656,,军事博物馆,T31
G433,32,10,62756,62786,,木樨地,T31
G433,32,11,62906,62933,,南礼士路,T31
G433,32,12,63013,63063,,复兴门,T31
G433,32,13,63183,63227,,西单,T31
G433,32,14,63332,63358,,天安门西,T31
G433,32,15,63448,63476,,天安门东,T31
G433,32,16,63566,63596,,王府井,T31
G433,32,17,63681,63726,,东单,T31
G433,32,18,63836,63881,,建国门,T31
G433,32,19,64001,64031,,永安里,T31
G433,32,20,64116,64161,,国贸,T31
G433,32,21,64281,64326,,大望路,T31
G433,32,22,64469,64499,,四惠,T31
G433,32,23,64619,64619,,四惠东,T31
G433,34,1,61641,61661,,苹果园,T33
G433,34,2,61861,61891,,古城,T33
G433,34,3,62041,62071,,八角游乐园,T33
G433,34,4,62221,62246,,八宝山,T33
G433,34,5,62366,62401,,玉泉路,T33
G433,34,6,62541,62581,,五棵松,T33
G433,34,7,62716,62751,,万寿路,T33
G433,34,8,62861,62906,,公主坟,T33
G433,34,9,63006,63056,,军事博物馆,T33
G433,34,10,63156,63186,,木樨地,T33
G433,34,11,63306,63333,,南礼士路,T33
G433,34,12,63413,63463,,复兴门,T33
G433,34,13,63583,63627,,西单,T33
G433,34,14,63732,63758,,天安门西,T33
G433,34,15,63848,63876,,天安门东,T33
G433,34,16,63966,63996,,王府井,T33
G433,34,17,64081,64126,,东单,T33
G433,34,18,64236,64281,,建国门,T33
G433,34,19,64401,64431,,永安里,T33
G433,34,20,64516,64561,,国贸,T33
G433,34,21,64681,64726,,大望路,T33
G433,34,22,64869,64899,,四惠,T33
G433,34,23,65019,65019,,四惠东,T33
G433,32,1,62041,62061,,苹果园,T35
G433,32,2,62261,62291,,古城,T35
G433,32,3,62441,62471,,八角游乐园,T35
G433,32,4,62621,62646,,八宝山,T35
G433,32,5,62766,62801,,玉泉路,T35
G433,32,6,62941,62981,,五棵松,T35
G433,32,7,63116,63151,,万寿路,T35
G433,32,8,63261,63306,,公主坟,T35
G433,32,9,63406,63456,,军事博物馆,T35
G433,32,10,63556,63586,,木樨地,T35
G433,32,11,63706,63733,,南礼士路,T35
G433,32,12,63813,63863,,复兴门,T35
G433,32,13,63983,64027,,西单,T35
G433,32,14,64132,64158,,天安门西,T35
G433,32,15,64248,64276,,天安门东,T35
G433,32,16,64366,64396,,王府井,T35
G433,32,17,64481,64526,,东单,T35
G433,32,18,64636,64681,,建国门,T35
G433,32,19,64801,64831,,永安里,T35
G433,32,20,64916,64961,,国贸,T35
G433,32,21,65081,65126,,大望路,T35
G433,32,22,65269,65299,,四惠,T35
G433,32,23,65419,65419,,四惠东,T35
G433,34,1,62441,62461,,苹果园,T37
G433,34,2,62661,62691,,古城,T37
G433,34,3,62841,62871,,八角游乐园,T37
