列车号,服务号,车站,到达,出发,,车站名称,列车编号
G433,32,1,46189,46209,,苹果园,T31
G433,32,2,46409,46439,,古城,T31
G433,32,3,46589,46619,,八角游乐园,T31
G433,32,4,46769,46794,,八宝山,T31
G433,32,5,46914,46949,,玉泉路,T31
G433,32,6,47089,47129,,五棵松,T31
G433,32,7,47264,47299,,万寿路,T31
G433,32,8,47409,47454,,公主坟,T31
G433,32,9,47554,47604,,军事博物馆,T31
G433,32,10,47704,47734,,木樨地,T31
G433,32,11,47854,47881,,南礼士路,T31
G433,32,12,47961,48011,,复兴门,T31
G433,32,13,48131,48175,,西单,T31
G433,32,14,48280,48306,,天安门西,T31
G433,32,15,48396,48424,,天安门东,T31
G433,32,16,48514,48544,,王府井,T31
G433,32,17,48629,48674,,东单,T31
G433,32,18,48784,48829,,建国门,T31
G433,32,19,48949,48979,,永安里,T31
G433,32,20,49064,49109,,国贸,T31
G433,32,21,49229,49274,,大望路,T31
G433,32,22,49417,49447,,四惠,T31
G433,32,23,49567,49567,,四惠东,T31
G433,34,1,46829,46849,,苹果园,T33
G433,34,2,47049,47079,,古城,T33
G433,34,3,47229,47259,,八角游乐园,T33
G433,34,4,47409,47434,,八宝山,T33
G433,34,5,47554,47589,,玉泉路,T33
G433,34,6,47729,47769,,五棵松,T33
G433,34,7,47904,47939,,万寿路,T33
G433,34,8,48049,48094,,公主坟,T33
G433,34,9,48194,48244,,军事博物馆,T33
G433,34,10,48344,48374,,木樨地,T33
G433,34,11,48494,48521,,南礼士路,T33
G433,34,12,48601,48651,,复兴门,T33
G433,34,13,48771,48815,,西单,T33
G433,34,14,48920,48946,,天安门西,T33
G433,34,15,49036,49064,,天安门东,T33
G433,34,16,49154,49184,,王府井,T33
G433,34,17,49269,49314,,东单,T33
G433,34,18,49424,49469,,建国门,T33
G433,34,19,49589,49619,,永安里,T33
G433,34,20,49704,49749,,国贸,T33
G433,34,21,49869,49914,,大望路,T33
G433,34,22,50057,50087,,四惠,T33
G433,34,23,50207,50207,,四惠东,T33
G433,32,1,47469,47489,,苹果园,T35
G433,32,2,47689,47719,,古城,T35
G433,32,3,47869,47899,,八角游乐园,T35
G433,32,4,48049,48074,,八宝山,T35
G433,32,5,48194,48229,,玉泉路,T35
G433,32,6,48369,48409,,五棵松,T35
G433,32,7,48544,48579,,万寿路,T35
G433,32,8,48689,48734,,公主坟,T35
