列车号,服务号,车站,到达,出发,,车站名称,列车编号,,
G433,32,1,19357,19377,,苹果园,T31,,
G433,32,2,19577,19607,,古城,T31,,-1200
G433,32,3,19757,19787,,八角游乐园,T31,,
G433,32,4,19937,19962,,八宝山,T31,,
G433,32,5,20082,20117,,玉泉路,T31,,
G433,32,6,20257,20297,,五棵松,T31,,
G433,32,7,20432,20467,,万寿路,T31,,
G433,32,8,20577,20622,,公主坟,T31,,
G433,32,9,20722,20772,,军事博物馆,T31,,
G433,32,10,20872,20902,,木樨地,T31,,
G433,32,11,21022,21049,,南礼士路,T31,,
G433,32,12,21129,21179,,复兴门,T31,,
G433,32,13,21299,21343,,西单,T31,,
G433,32,14,21448,21474,,天安门西,T31,,
G433,32,15,21564,21592,,天安门东,T31,,
G433,32,16,21682,21712,,王府井,T31,,
G433,32,17,21797,21842,,东单,T31,,
G433,32,18,21952,21997,,建国门,T31,,
G433,32,19,22117,22147,,永安里,T31,,
G433,32,20,22232,22277,,国贸,T31,,
G433,32,21,22397,22442,,大望路,T31,,
G433,32,22,22585,22615,,四惠,T31,,
G433,32,23,22735,22735,,四惠东,T31,,
G433,34,1,19957,19977,,苹果园,T33,,
G433,34,2,20177,20207,,古城,T33,,
G433,34,3,20357,20387,,八角游乐园,T33,,
G433,34,4,20537,20562,,八宝山,T33,,
G433,34,5,20682,20717,,玉泉路,T33,,
G433,34,6,20857,20897,,五棵松,T33,,
G433,34,7,21032,21067,,万寿路,T33,,
G433,34,8,21177,21222,,公主坟,T33,,
G433,34,9,21322,21372,,军事博物馆,T33,,
G433,34,10,21472,21502,,木樨地,T33,,
G433,34,11,21622,21649,,南礼士路,T33,,
G433,34,12,21729,21779,,复兴门,T33,,
G433,34,13,21899,21943,,西单,T33,,
G433,34,14,22048,22074,,天安门西,T33,,
G433,34,15,22164,22192,,天安门东,T33,,
G433,34,16,22282,22312,,王府井,T33,,
G433,34,17,22397,22442,,东单,T33,,
G433,34,18,22552,22597,,建国门,T33,,
G433,34,19,22717,22747,,永安里,T33,,
G433,34,20,22832,22877,,国贸,T33,,
G433,34,21,22997,23042,,大望路,T33,,
G433,34,22,23185,23215,,四惠,T33,,
G433,34,23,23335,23335,,四惠东,T33,,
G433,32,1,20337,20357,,苹果园,T35,,
G433,32,2,20557,20587,,古城,T35,,
G433,32,3,20737,20767,,八角游乐园,T35,,
G433,32,4,20917,20942,,八宝山,T35,,
G433,32,5,21062,21097,,玉泉路,T35,,
G433,32,6,21237,21277,,五棵松,T35,,
G433,32,7,21412,21447,,万寿路,T35,,
G433,32,8,21557,21602,,公主坟,T35,,
G433,32,9,21702,21752,,军事博物馆,T35,,
G433,32,10,21852,21882,,木樨地,T35,,
G433,32,11,22002,22029,,南礼士路,T35,,
G433,32,12,22109,22159,,复兴门,T35,,
G433,32,13,22279,22323,,西单,T35,,
G433,32,14,22428,22454,,天安门西,T35,,
G433,32,15,22544,22572,,天安门东,T35,,
G433,32,16,22662,22692,,王府井,T35,,
G433,32,17,22777,22822,,东单,T35,,
G433,32,18,22932,22977,,建国门,T35,,
G433,32,19,23097,23127,,永安里,T35,,
G433,32,20,23212,23257,,国贸,T35,,
G433,32,21,23377,23422,,大望路,T35,,
G433,32,22,23565,23595,,四惠,T35,,
G433,32,23,23715,23715,,四惠东,T35,,
G433,34,1,20937,20957,,苹果园,T37,,
G433,34,2,21157,21187,,古城,T37,,
G433,34,3,21337,21367,,八角游乐园,T37,,
G433,34,4,21517,21542,,八宝山,T37,,
G433,34,5,21662,21697,,玉泉路,T37,,
G433,34,6,21837,21877,,五棵松,T37,,
G433,34,7,22012,22047,,万寿路,T37,,
G433,34,8,22157,22202,,公主坟,T37,,
G433,34,9,22302,22352,,军事博物馆,T37,,
G433,34,10,22452,22482,,木樨地,T37,,
G433,34,11,22602,22629,,南礼士路,T37,,
G433,34,12,22709,22759,,复兴门,T37,,
G433,34,13,22879,22923,,西单,T37,,
G433,34,14,23028,23054,,天安门西,T37,,
G433,34,15,23144,23172,,天安门东,T37,,
G433,34,16,23262,23292,,王府井,T37,,
G433,34,17,23377,23422,,东单,T37,,
G433,34,18,23532,23577,,建国门,T37,,
G433,34,19,23697,23727,,永安里,T37,,
G433,34,20,23812,23857,,国贸,T37,,
G433,34,21,23977,24022,,大望路,T37,,
G433,34,22,24165,24195,,四惠,T37,,
G433,34,23,24315,24315,,四惠东,T37,,
G433,32,1,21292,21312,,苹果园,T39,,
G433,32,2,21512,21542,,古城,T39,,
G433,32,3,21692,21722,,八角游乐园,T39,,
G433,32,4,21872,21897,,八宝山,T39,,
G433,32,5,22017,22052,,玉泉路,T39,,
G433,32,6,22192,22232,,五棵松,T39,,
G433,32,7,22367,22402,,万寿路,T39,,
G433,32,8,22512,22557,,公主坟,T39,,
G433,32,9,22657,22707,,军事博物馆,T39,,
G433,32,10,22807,22837,,木樨地,T39,,
G433,32,11,22957,22984,,南礼士路,T39,,
