列车号,服务号,车站,到达,出发,,车站名称,列车编号
G433,32,1,51517,51537,,苹果园,T31
G433,32,2,51737,51767,,古城,T31
G433,32,3,51917,51947,,八角游乐园,T31
G433,32,4,52097,52122,,八宝山,T31
G433,32,5,52242,52277,,玉泉路,T31
G433,32,6,52417,52457,,五棵松,T31
G433,32,7,52592,52627,,万寿路,T31
G433,32,8,52737,52782,,公主坟,T31
G433,32,9,52882,52932,,军事博物馆,T31
G433,32,10,53032,53062,,木樨地,T31
G433,32,11,53182,53209,,南礼士路,T31
G433,32,12,53289,53339,,复兴门,T31
G433,32,13,53459,53503,,西单,T31
G433,32,14,53608,53634,,天安门西,T31
G433,32,15,53724,53752,,天安门东,T31
G433,32,16,53842,53872,,王府井,T31
G433,32,17,53957,54002,,东单,T31
G433,32,18,54112,54157,,建国门,T31
G433,32,19,54277,54307,,永安里,T31
G433,32,20,54392,54437,,国贸,T31
G433,32,21,54557,54602,,大望路,T31
G433,32,22,54745,54775,,四惠,T31
G433,32,23,54895,54895,,四惠东,T31
G433,34,1,52157,52177,,苹果园,T33
G433,34,2,52377,52407,,古城,T33
G433,34,3,52557,52587,,八角游乐园,T33
G433,34,4,52737,52762,,八宝山,T33
G433,34,5,52882,52917,,玉泉路,T33
G433,34,6,53057,53097,,五棵松,T33
G433,34,7,53232,53267,,万寿路,T33
G433,34,8,53377,53422,,公主坟,T33
G433,34,9,53522,53572,,军事博物馆,T33
G433,34,10,53672,53702,,木樨地,T33
G433,34,11,53822,53849,,南礼士路,T33
G433,34,12,53929,53979,,复兴门,T33
G433,34,13,54099,54143,,西单,T33
G433,34,14,54248,54274,,天安门西,T33
G433,34,15,54364,54392,,天安门东,T33
G433,34,16,54482,54512,,王府井,T33
G433,34,17,54597,54642,,东单,T33
G433,34,18,54752,54797,,建国门,T33
G433,34,19,54917,54947,,永安里,T33
G433,34,20,55032,55077,,国贸,T33
G433,34,21,55197,55242,,大望路,T33
G433,34,22,55385,55415,,四惠,T33
G433,34,23,55535,55535,,四惠东,T33
G433,32,1,52797,52817,,苹果园,T35
G433,32,2,53017,53047,,古城,T35
G433,32,3,53197,53227,,八角游乐园,T35
G433,32,4,53377,53402,,八宝山,T35
G433,32,5,53522,53557,,玉泉路,T35
G433,32,6,53697,53737,,五棵松,T35
G433,32,7,53872,53907,,万寿路,T35
G433,32,8,54017,54062,,公主坟,T35
G433,32,9,54162,54212,,军事博物馆,T35
G433,32,10,54312,54342,,木樨地,T35
G433,32,11,54462,54489,,南礼士路,T35
G433,32,12,54569,54619,,复兴门,T35
G433,32,13,54739,54783,,西单,T35
G433,32,14,54888,54914,,天安门西,T35
G433,32,15,55004,55032,,天安门东,T35
G433,32,16,55122,55152,,王府井,T35
G433,32,17,55237,55282,,东单,T35
G433,32,18,55392,55437,,建国门,T35
G433,32,19,55557,55587,,永安里,T35
G433,32,20,55672,55717,,国贸,T35
G433,32,21,55837,55882,,大望路,T35
G433,32,22,56025,56055,,四惠,T35
G433,32,23,56175,56175,,四惠东,T35
G433,34,1,53437,53457,,苹果园,T37
G433,34,2,53657,53687,,古城,T37
G433,34,3,53837,53867,,八角游乐园,T37
G433,34,4,54017,54042,,八宝山,T37
G433,34,5,54162,54197,,玉泉路,T37
G433,34,6,54337,54377,,五棵松,T37
G433,34,7,54512,54547,,万寿路,T37
G433,34,8,54657,54702,,公主坟,T37
G433,34,9,54802,54852,,军事博物馆,T37
G433,34,10,54952,54982,,木樨地,T37
G433,34,11,55102,55129,,南礼士路,T37
G433,34,12,55209,55259,,复兴门,T37
G433,34,13,55379,55423,,西单,T37
G433,34,14,55528,55554,,天安门西,T37
G433,34,15,55644,55672,,天安门东,T37
G433,34,16,55762,55792,,王府井,T37
G433,34,17,55877,55922,,东单,T37
G433,34,18,56032,56077,,建国门,T37
G433,34,19,56197,56227,,永安里,T37
G433,34,20,56312,56357,,国贸,T37
G433,34,21,56477,56522,,大望路,T37
G433,34,22,56665,56695,,四惠,T37
G433,34,23,56815,56815,,四惠东,T37
G433,32,1,54077,54097,,苹果园,T39
G433,32,2,54297,54327,,古城,T39
G433,32,3,54477,54507,,八角游乐园,T39
G433,32,4,54657,54682,,八宝山,T39
G433,32,5,54802,54837,,玉泉路,T39
G433,32,6,54977,55017,,五棵松,T39
G433,32,7,55152,55187,,万寿路,T39
G433,32,8,55297,55342,,公主坟,T39
G433,32,9,55442,55492,,军事博物馆,T39
G433,32,10,55592,55622,,木樨地,T39
G433,32,11,55742,55769,,南礼士路,T39
G433,32,12,55849,55899,,复兴门,T39
G433,32,13,56019,56063,,西单,T39
G433,32,14,56168,56194,,天安门西,T39
G433,32,15,56284,56312,,天安门东,T39
G433,32,16,56402,56432,,王府井,T39
G433,32,17,56517,56562,,东单,T39
G433,32,18,56672,56717,,建国门,T39
G433,32,19,56837,56867,,永安里,T39
G433,32,20,56952,56997,,国贸,T39
G433,32,21,57117,57162,,大望路,T39
G433,32,22,57305,57335,,四惠,T39
G433,32,23,57455,57455,,四惠东,T39
G433,34,1,54717,54737,,苹果园,T41
G433,34,2,54937,54967,,古城,T41
G433,34,3,55117,55147,,八角游乐园,T41
G433,34,4,55297,55322,,八宝山,T41
G433,34,5,55442,55477,,玉泉路,T41
G433,34,6,55617,55657,,五棵松,T41
G433,34,7,55792,55827,,万寿路,T41
G433,34,8,55937,55982,,公主坟,T41
G433,34,9,56082,56132,,军事博物馆,T41
G433,34,10,56232,56262,,木樨地,T41
G433,34,11,56382,56409,,南礼士路,T41
G433,34,12,56489,56539,,复兴门,T41
G433,34,13,56659,56703,,西单,T41
G433,34,14,56808,56834,,天安门西,T41
G433,34,15,56924,56952,,天安门东,T41
G433,34,16,57042,57072,,王府井,T41
G433,34,17,57157,57202,,东单,T41
G433,34,18,57312,57357,,建国门,T41
G433,34,19,57477,57507,,永安里,T41
G433,34,20,57592,57637,,国贸,T41
G433,34,21,57757,57802,,大望路,T41
G433,34,22,57945,57975,,四惠,T41
G433,34,23,58095,58095,,四惠东,T41
G433,32,1,55357,55377,,苹果园,T43
G433,32,2,55577,55607,,古城,T43
G433,32,3,55757,55787,,八角游乐园,T43
