列车号,服务号,车站,到达,出发,,车站名称,列车编号
G433,32,1,28841,28861,,苹果园,T31
G433,32,2,29061,29091,,古城,T31
G433,32,3,29241,29271,,八角游乐园,T31
G433,32,4,29421,29446,,八宝山,T31
G433,32,5,29566,29601,,玉泉路,T31
G433,32,6,29741,29781,,五棵松,T31
G433,32,7,29916,29951,,万寿路,T31
G433,32,8,30061,30106,,公主坟,T31
G433,32,9,30206,30256,,军事博物馆,T31
G433,32,10,30356,30386,,木樨地,T31
G433,32,11,30506,30533,,南礼士路,T31
G433,32,12,30613,30663,,复兴门,T31
G433,32,13,30783,30827,,西单,T31
G433,32,14,30932,30958,,天安门西,T31
G433,32,15,31048,31076,,天安门东,T31
G433,32,16,31166,31196,,王府井,T31
G433,32,17,31281,31326,,东单,T31
G433,32,18,31436,31481,,建国门,T31
G433,32,19,31601,31631,,永安里,T31
G433,32,20,31716,31761,,国贸,T31
G433,32,21,31881,31926,,大望路,T31
G433,32,22,32069,32099,,四惠,T31
G433,32,23,32219,32219,,四惠东,T31
G433,34,1,29221,29241,,苹果园,T31
G433,34,2,29441,29471,,古城,T31
G433,34,3,29621,29651,,八角游乐园,T31
G433,34,4,29801,29826,,八宝山,T31
G433,34,5,29946,29981,,玉泉路,T31
G433,34,6,30121,30161,,五棵松,T31
G433,34,7,30296,30331,,万寿路,T31
G433,34,8,30441,30486,,公主坟,T31
G433,34,9,30586,30636,,军事博物馆,T31
G433,34,10,30736,30766,,木樨地,T31
G433,34,11,30886,30913,,南礼士路,T31
G433,34,12,30993,31043,,复兴门,T31
G433,34,13,31163,31207,,西单,T31
G433,34,14,31312,31338,,天安门西,T31
G433,34,15,31428,31456,,天安门东,T31
G433,34,16,31546,31576,,王府井,T31
G433,34,17,31661,31706,,东单,T31
G433,34,18,31816,31861,,建国门,T31
G433,34,19,31981,32011,,永安里,T31
G433,34,20,32096,32141,,国贸,T31
G433,34,21,32261,32306,,大望路,T31
G433,34,22,32449,32479,,四惠,T31
G433,34,23,32599,32599,,四惠东,T31
G433,36,1,29601,29621,,苹果园,T31
G433,36,2,29821,29851,,古城,T31
G433,36,3,30001,30031,,八角游乐园,T31
G433,36,4,30181,30206,,八宝山,T31
G433,36,5,30326,30361,,玉泉路,T31
G433,36,6,30501,30541,,五棵松,T31
G433,36,7,30676,30711,,万寿路,T31
G433,36,8,30821,30866,,公主坟,T31
G433,36,9,30966,31016,,军事博物馆,T31
G433,36,10,31116,31146,,木樨地,T31
G433,36,11,31266,31293,,南礼士路,T31
G433,36,12,31373,31423,,复兴门,T31
G433,36,13,31543,31587,,西单,T31
G433,36,14,31692,31718,,天安门西,T31
G433,36,15,31808,31836,,天安门东,T31
G433,36,16,31926,31956,,王府井,T31
G433,36,17,32041,32086,,东单,T31
G433,36,18,32196,32241,,建国门,T31
G433,36,19,32361,32391,,永安里,T31
G433,36,20,32476,32521,,国贸,T31
G433,36,21,32641,32686,,大望路,T31
G433,36,22,32829,32859,,四惠,T31
G433,36,23,32979,32979,,四惠东,T31
