列车号,服务号,车站,到达,出发,,车站名称,列车编号
G433,32,1,57306,57326,,苹果园,T31
G433,32,2,57526,57556,,古城,T31
G433,32,3,57706,57736,,八角游乐园,T31
G433,32,4,57886,57911,,八宝山,T31
G433,32,5,58031,58066,,玉泉路,T31
G433,32,6,58206,58246,,五棵松,T31
G433,32,7,58381,58416,,万寿路,T31
G433,32,8,58526,58571,,公主坟,T31
G433,32,9,58671,58721,,军事博物馆,T31
G433,32,10,58821,58851,,木樨地,T31
G433,32,11,58971,58998,,南礼士路,T31
G433,32,12,59078,59128,,复兴门,T31
G433,32,13,59248,59292,,西单,T31
G433,32,14,59397,59423,,天安门西,T31
G433,32,15,59513,59541,,天安门东,T31
G433,32,16,59631,59661,,王府井,T31
G433,32,17,59746,59791,,东单,T31
G433,32,18,59901,59946,,建国门,T31
G433,32,19,60066,60096,,永安里,T31
G433,32,20,60181,60226,,国贸,T31
G433,32,21,60346,60391,,大望路,T31
G433,32,22,60534,60564,,四惠,T31
G433,32,23,60684,60684,,四惠东,T31
G433,34,1,57718,57738,,苹果园,T31
G433,34,2,57938,57968,,古城,T31
G433,34,3,58118,58148,,八角游乐园,T31
G433,34,4,58298,58323,,八宝山,T31
G433,34,5,58443,58478,,玉泉路,T31
G433,34,6,58618,58658,,五棵松,T31
G433,34,7,58793,58828,,万寿路,T31
G433,34,8,58938,58983,,公主坟,T31
G433,34,9,59083,59133,,军事博物馆,T31
G433,34,10,59233,59263,,木樨地,T31
G433,34,11,59383,59410,,南礼士路,T31
G433,34,12,59490,59540,,复兴门,T31
G433,34,13,59660,59704,,西单,T31
G433,34,14,59809,59835,,天安门西,T31
G433,34,15,59925,59953,,天安门东,T31
G433,34,16,60043,60073,,王府井,T31
G433,34,17,60158,60203,,东单,T31
G433,34,18,60313,60358,,建国门,T31
G433,34,19,60478,60508,,永安里,T31
G433,34,20,60593,60638,,国贸,T31
G433,34,21,60758,60803,,大望路,T31
G433,34,22,60946,60976,,四惠,T31
G433,34,23,61096,61096,,四惠东,T31
G433,32,1,58130,58150,,苹果园,T31
G433,32,2,58350,58380,,古城,T31
G433,32,3,58530,58560,,八角游乐园,T31
G433,32,4,58710,58735,,八宝山,T31
G433,32,5,58855,58890,,玉泉路,T31
G433,32,6,59030,59070,,五棵松,T31
G433,32,7,59205,59240,,万寿路,T31
G433,32,8,59350,59395,,公主坟,T31
G433,32,9,59495,59545,,军事博物馆,T31
G433,32,10,59645,59675,,木樨地,T31
G433,32,11,59795,59822,,南礼士路,T31
G433,32,12,59902,59952,,复兴门,T31
G433,32,13,60072,60116,,西单,T31
G433,32,14,60221,60247,,天安门西,T31
G433,32,15,60337,60365,,天安门东,T31
G433,32,16,60455,60485,,王府井,T31
G433,32,17,60570,60615,,东单,T31
G433,32,18,60725,60770,,建国门,T31
G433,32,19,60890,60920,,永安里,T31
G433,32,20,61005,61050,,国贸,T31
G433,32,21,61170,61215,,大望路,T31
G433,32,22,61358,61388,,四惠,T31
G433,32,23,61508,61508,,四惠东,T31
G433,34,1,58542,58562,,苹果园,T31
G433,34,2,58762,58792,,古城,T31
G433,34,3,58942,58972,,八角游乐园,T31
G433,34,4,59122,59147,,八宝山,T31
G433,34,5,59267,59302,,玉泉路,T31
G433,34,6,59442,59482,,五棵松,T31
G433,34,7,59617,59652,,万寿路,T31
G433,34,8,59762,59807,,公主坟,T31
G433,34,9,59907,59957,,军事博物馆,T31
G433,34,10,60057,60087,,木樨地,T31
G433,34,11,60207,60234,,南礼士路,T31
G433,34,12,60314,60364,,复兴门,T31
G433,34,13,60484,60528,,西单,T31
G433,34,14,60633,60659,,天安门西,T31
G433,34,15,60749,60777,,天安门东,T31
G433,34,16,60867,60897,,王府井,T31
G433,34,17,60982,61027,,东单,T31
