列车号,服务号,车站,到达,出发,,车站名称,列车编号
G433,32,1,55069,55089,,苹果园,T31
G433,32,2,55289,55319,,古城,T31
G433,32,3,55469,55499,,八角游乐园,T31
G433,32,4,55649,55674,,八宝山,T31
G433,32,5,55794,55829,,玉泉路,T31
G433,32,6,55969,56009,,五棵松,T31
G433,32,7,56144,56179,,万寿路,T31
G433,32,8,56289,56334,,公主坟,T31
G433,32,9,56434,56484,,军事博物馆,T31
G433,32,10,56584,56614,,木樨地,T31
G433,32,11,56734,56761,,南礼士路,T31
G433,32,12,56841,56891,,复兴门,T31
G433,32,13,57011,57055,,西单,T31
G433,32,14,57160,57186,,天安门西,T31
G433,32,15,57276,57304,,天安门东,T31
G433,32,16,57394,57424,,王府井,T31
G433,32,17,57509,57554,,东单,T31
G433,32,18,57664,57709,,建国门,T31
G433,32,19,57829,57859,,永安里,T31
G433,32,20,57944,57989,,国贸,T31
G433,32,21,58109,58154,,大望路,T31
G433,32,22,58297,58327,,四惠,T31
G433,32,23,58447,58447,,四惠东,T31
G433,34,1,55709,55729,,苹果园,T33
G433,34,2,55929,55959,,古城,T33
G433,34,3,56109,56139,,八角游乐园,T33
G433,34,4,56289,56314,,八宝山,T33
G433,34,5,56434,56469,,玉泉路,T33
G433,34,6,56609,56649,,五棵松,T33
G433,34,7,56784,56819,,万寿路,T33
G433,34,8,56929,56974,,公主坟,T33
G433,34,9,57074,57124,,军事博物馆,T33
G433,34,10,57224,57254,,木樨地,T33
G433,34,11,57374,57401,,南礼士路,T33
G433,34,12,57481,57531,,复兴门,T33
G433,34,13,57651,57695,,西单,T33
G433,34,14,57800,57826,,天安门西,T33
G433,34,15,57916,57944,,天安门东,T33
G433,34,16,58034,58064,,王府井,T33
G433,34,17,58149,58194,,东单,T33
G433,34,18,58304,58349,,建国门,T33
G433,34,19,58469,58499,,永安里,T33
G433,34,20,58584,58629,,国贸,T33
G433,34,21,58749,58794,,大望路,T33
G433,34,22,58937,58967,,四惠,T33
G433,34,23,59087,59087,,四惠东,T33
G433,32,1,56349,56369,,苹果园,T35
G433,32,2,56569,56599,,古城,T35
G433,32,3,56749,56779,,八角游乐园,T35
G433,32,4,56929,56954,,八宝山,T35
G433,32,5,57074,57109,,玉泉路,T35
G433,32,6,57249,57289,,五棵松,T35
G433,32,7,57424,57459,,万寿路,T35
G433,32,8,57569,57614,,公主坟,T35
G433,32,9,57714,57764,,军事博物馆,T35
G433,32,10,57864,57894,,木樨地,T35
G433,32,11,58014,58041,,南礼士路,T35
G433,32,12,58121,58171,,复兴门,T35
G433,32,13,58291,58335,,西单,T35
G433,32,14,58440,58466,,天安门西,T35
G433,32,15,58556,58584,,天安门东,T35
G433,32,16,58674,58704,,王府井,T35
G433,32,17,58789,58834,,东单,T35
G433,32,18,58944,58989,,建国门,T35
G433,32,19,59109,59139,,永安里,T35
G433,32,20,59224,59269,,国贸,T35
G433,32,21,59389,59434,,大望路,T35
G433,32,22,59577,59607,,四惠,T35
G433,32,23,59727,59727,,四惠东,T35
G433,34,1,56989,57009,,苹果园,T37
G433,34,2,57209,57239,,古城,T37
G433,34,3,57389,57419,,八角游乐园,T37
G433,34,4,57569,57594,,八宝山,T37
G433,34,5,57714,57749,,玉泉路,T37
G433,34,6,57889,57929,,五棵松,T37
G433,34,7,58064,58099,,万寿路,T37
G433,34,8,58209,58254,,公主坟,T37
G433,34,9,58354,58404,,军事博物馆,T37
G433,34,10,58504,58534,,木樨地,T37
G433,34,11,58654,58681,,南礼士路,T37
G433,34,12,58761,58811,,复兴门,T37
G433,34,13,58931,58975,,西单,T37
G433,34,14,59080,59106,,天安门西,T37
G433,34,15,59196,59224,,天安门东,T37
G433,34,16,59314,59344,,王府井,T37
G433,34,17,59429,59474,,东单,T37
G433,34,18,59584,59629,,建国门,T37
G433,34,19,59749,59779,,永安里,T37
G433,34,20,59864,59909,,国贸,T37
G433,34,21,60029,60074,,大望路,T37
G433,34,22,60217,60247,,四惠,T37
G433,34,23,60367,60367,,四惠东,T37
G433,32,1,57629,57649,,苹果园,T39
G433,32,2,57849,57879,,古城,T39
G433,32,3,58029,58059,,八角游乐园,T39
G433,32,4,58209,58234,,八宝山,T39
G433,32,5,58354,58389,,玉泉路,T39
G433,32,6,58529,58569,,五棵松,T39
G433,32,7,58704,58739,,万寿路,T39
G433,32,8,58849,58894,,公主坟,T39
G433,32,9,58994,59044,,军事博物馆,T39
G433,32,10,59144,59174,,木樨地,T39
G433,32,11,59294,59321,,南礼士路,T39
G433,32,12,59401,59451,,复兴门,T39
G433,32,13,59571,59615,,西单,T39
G433,32,14,59720,59746,,天安门西,T39
G433,32,15,59836,59864,,天安门东,T39
G433,32,16,59954,59984,,王府井,T39
G433,32,17,60069,60114,,东单,T39
G433,32,18,60224,60269,,建国门,T39
G433,32,19,60389,60419,,永安里,T39
G433,32,20,60504,60549,,国贸,T39
G433,32,21,60669,60714,,大望路,T39
G433,32,22,60857,60887,,四惠,T39
G433,32,23,61007,61007,,四惠东,T39
G433,34,1,58269,58289,,苹果园,T41
G433,34,2,58489,58519,,古城,T41
G433,34,3,58669,58699,,八角游乐园,T41
G433,34,4,58849,58874,,八宝山,T41
G433,34,5,58994,59029,,玉泉路,T41
G433,34,6,59169,59209,,五棵松,T41
G433,34,7,59344,59379,,万寿路,T41
G433,34,8,59489,59534,,公主坟,T41
G433,34,9,59634,59684,,军事博物馆,T41
G433,34,10,59784,59814,,木樨地,T41
G433,34,11,59934,59961,,南礼士路,T41
G433,34,12,60041,60091,,复兴门,T41
G433,34,13,60211,60255,,西单,T41
G433,34,14,60360,60386,,天安门西,T41
G433,34,15,60476,60504,,天安门东,T41
G433,34,16,60594,60624,,王府井,T41
G433,34,17,60709,60754,,东单,T41
G433,34,18,60864,60909,,建国门,T41
G433,34,19,61029,61059,,永安里,T41
G433,34,20,61144,61189,,国贸,T41
G433,34,21,61309,61354,,大望路,T41
G433,34,22,61497,61527,,四惠,T41
G433,34,23,61647,61647,,四惠东,T41
G433,32,1,58909,58929,,苹果园,T43
G433,32,2,59129,59159,,古城,T43
G433,32,3,59309,59339,,八角游乐园,T43
G433,32,4,59489,59514,,八宝山,T43
G433,32,5,59634,59669,,玉泉路,T43
G433,32,6,59809,59849,,五棵松,T43
G433,32,7,59984,60019,,万寿路,T43
G433,32,8,60129,60174,,公主坟,T43
G433,32,9,60274,60324,,军事博物馆,T43
G433,32,10,60424,60454,,木樨地,T43
G433,32,11,60574,60601,,南礼士路,T43
G433,32,12,60681,60731,,复兴门,T43
G433,32,13,60851,60895,,西单,T43
G433,32,14,61000,61026,,天安门西,T43
G433,32,15,61116,61144,,天安门东,T43
G433,32,16,61234,61264,,王府井,T43
G433,32,17,61349,61394,,东单,T43
G433,32,18,61504,61549,,建国门,T43
G433,32,19,61669,61699,,永安里,T43
G433,32,20,61784,61829,,国贸,T43
G433,32,21,61949,61994,,大望路,T43
G433,32,22,62137,62167,,四惠,T43
G433,32,23,62287,62287,,四惠东,T43
G433,34,1,59549,59569,,苹果园,T45
G433,34,2,59769,59799,,古城,T45
G433,34,3,59949,59979,,八角游乐园,T45
G433,34,4,60129,60154,,八宝山,T45
G433,34,5,60274,60309,,玉泉路,T45
G433,34,6,60449,60489,,五棵松,T45
G433,34,7,60624,60659,,万寿路,T45
G433,34,8,60769,60814,,公主坟,T45
G433,34,9,60914,60964,,军事博物馆,T45
G433,34,10,61064,61094,,木樨地,T45
G433,34,11,61214,61241,,南礼士路,T45
G433,34,12,61321,61371,,复兴门,T45
G433,34,13,61491,61535,,西单,T45
G433,34,14,61640,61666,,天安门西,T45
G433,34,15,61756,61784,,天安门东,T45
G433,34,16,61874,61904,,王府井,T45
G433,34,17,61989,62034,,东单,T45
G433,34,18,62144,62189,,建国门,T45
G433,34,19,62309,62339,,永安里,T45
G433,34,20,62424,62469,,国贸,T45
G433,34,21,62589,62634,,大望路,T45
G433,34,22,62777,62807,,四惠,T45
G433,34,23,62927,62927,,四惠东,T45
S405,8,23,55062,55062,,四惠东,T7
S405,8,22,55202,55232,,四惠,T7
S405,8,21,55375,55420,,大望路,T7
S405,8,20,55540,55585,,国贸,T7
S405,8,19,55670,55700,,永安里,T7
